Maggi_Packets,Masala_Sachets,Water_ml,Onions_g,ChilliPowder_tbsp,Turmeric_tbsp,Salt_tbsp,CookingTime_min,TasteScore
6,6.0,1385,182,1.32,0.66,1.26,13,93
6,8.4,1380,187,1.50,0.75,1.44,14,91
6,4.8,1400,180,1.20,0.60,1.14,11,87
6,7.8,1368,191,2.64,1.32,2.52,15,80
6,3.6,1420,177,1.08,0.54,1.02,10,76
6,13.2,1430,198,2.88,1.44,2.76,16,72
7,10.5,1585,218,1.75,0.88,1.68,16,98
7,12.6,1590,222,1.89,0.95,1.82,17,97
7,8.4,1595,215,1.68,0.84,1.61,15,96
7,11.2,1580,220,1.82,0.91,1.75,16,95
7,7.0,1610,212,1.54,0.77,1.47,15,93
7,9.8,1605,217,1.75,0.88,1.68,16,91
7,5.6,1630,210,1.40,0.70,1.33,13,86
7,9.1,1593,221,3.08,1.54,2.94,17,79
7,4.2,1650,207,1.26,0.63,1.19,12,75
7,15.4,1660,228,3.36,1.68,3.22,18,71
8,12.0,1810,248,2.00,1.00,1.92,18,98
8,14.4,1815,252,2.16,1.08,2.08,19,97
8,9.6,1820,245,1.92,0.96,1.84,17,96
8,12.8,1805,250,2.08,1.04,2.00,18,95
8,8.0,1835,242,1.76,0.88,1.68,17,93
8,11.2,1830,247,2.00,1.00,1.92,18,91
8,6.4,1855,240,1.60,0.80,1.52,15,86
8,10.4,1818,251,3.52,1.76,3.36,19,78
8,4.8,1875,237,1.44,0.72,1.36,14,74
8,17.6,1885,258,3.84,1.92,3.68,20,70
9,13.5,2035,278,2.25,1.13,2.16,20,98
9,16.2,2040,282,2.43,1.22,2.34,21,97
9,10.8,2045,275,2.16,1.08,2.07,19,96
9,14.4,2030,280,2.34,1.17,2.25,20,95
9,9.0,2060,272,2.00,1.00,1.92,19,93
9,12.6,2055,277,2.25,1.13,2.16,20,91
9,7.2,2080,270,1.80,0.90,1.72,17,86
9,11.7,2043,281,3.96,1.98,3.78,21,77
9,5.4,2100,267,1.62,0.81,1.54,16,73
9,19.8,2110,288,4.32,2.16,4.14,22,69
10,15.0,2260,308,2.50,1.25,2.40,22,98
10,18.0,2265,312,2.70,1.35,2.60,23,97
10,12.0,2270,305,2.40,1.20,2.30,21,96
10,16.0,2255,310,2.60,1.30,2.50,22,95
10,10.0,2285,302,2.20,1.10,2.10,21,93
10,14.0,2280,307,2.50,1.25,2.40,22,91
10,8.0,2305,300,2.00,1.00,1.90,19,86
10,13.0,2268,311,4.40,2.20,4.20,23,76
10,6.0,2325,297,1.80,0.90,1.70,18,72
10,22.0,2335,318,4.80,2.40,4.60,24,68
11,16.5,2485,338,2.75,1.38,2.64,24,98
11,19.8,2490,342,2.97,1.49,2.86,25,97
11,13.2,2495,335,2.64,1.32,2.53,23,96
11,17.6,2480,340,2.86,1.43,2.75,24,95
11,11.0,2510,332,2.42,1.21,2.31,23,93
11,15.4,2505,337,2.75,1.38,2.64,24,91
11,8.8,2530,330,2.20,1.10,2.09,21,85
11,14.3,2493,341,4.84,2.42,4.62,25,75
11,6.6,2550,327,1.98,0.99,1.88,20,71
11,24.2,2560,348,5.28,2.64,5.06,26,67
12,18.0,2710,368,3.00,1.50,2.88,26,98
12,21.6,2715,372,3.24,1.62,3.12,27,97
12,14.4,2720,365,2.88,1.44,2.76,25,96
12,19.2,2705,370,3.12,1.56,3.00,26,95
12,12.0,2735,362,2.64,1.32,2.52,25,93
12,16.8,2730,367,3.00,1.50,2.88,26,91
12,9.6,2755,360,2.40,1.20,2.28,23,85
12,15.6,2718,371,5.28,2.64,5.04,27,74
12,7.2,2775,357,2.16,1.08,2.04,22,70
12,26.4,2785,378,5.76,2.88,5.52,28,66
13,19.5,2935,398,3.25,1.63,3.12,28,98
13,23.4,2940,402,3.51,1.76,3.38,29,97
13,15.6,2945,395,3.12,1.56,2.99,27,96
13,20.8,2930,400,3.38,1.69,3.25,28,95
13,13.0,2960,392,2.86,1.43,2.73,27,93
13,18.2,2955,397,3.25,1.63,3.12,28,91
13,10.4,2980,390,2.60,1.30,2.47,25,85
13,17.0,2943,401,5.72,2.86,5.46,29,73
13,7.8,3000,387,2.34,1.17,2.21,24,69
13,28.6,3010,408,6.24,3.12,5.98,30,65
14,21.0,3160,428,3.50,1.75,3.36,30,98
14,25.2,3165,432,3.78,1.89,3.64,31,97
14,16.8,3170,425,3.36,1.68,3.22,29,96
14,22.4,3155,430,3.64,1.82,3.50,30,95
14,14.0,3185,422,3.08,1.54,2.94,29,93
14,19.6,3180,427,3.50,1.75,3.36,30,91
14,11.2,3205,420,2.80,1.40,2.66,27,85
14,18.2,3168,431,6.16,3.08,5.88,31,72
14,8.4,3225,417,2.52,1.26,2.38,26,68
14,30.8,3235,438,6.72,3.36,6.44,32,64
15,22.5,3385,458,3.75,1.88,3.60,32,98
15,27.0,3390,462,4.05,2.03,3.90,33,97
15,18.0,3395,455,3.60,1.80,3.45,31,96
15,24.0,3380,460,3.90,1.95,3.75,32,95
15,15.0,3410,452,3.30,1.65,3.15,31,93
15,21.0,3405,457,3.75,1.88,3.60,32,91
15,12.0,3430,450,3.00,1.50,2.85,29,85
15,19.5,3393,461,6.60,3.30,6.30,33,71
15,9.0,3450,447,2.70,1.35,2.55,28,67
15,33.0,3460,468,7.20,3.60,6.90,34,63
16,24.0,3610,488,4.00,2.00,3.84,34,98
16,28.8,3615,492,4.32,2.16,4.16,35,97
16,19.2,3620,485,3.84,1.92,3.68,33,96
16,25.6,3605,490,4.16,2.08,4.00,34,95
16,16.0,3635,482,3.52,1.76,3.36,33,93
16,22.4,3630,487,4.00,2.00,3.84,34,91
16,12.8,3655,480,3.20,1.60,3.04,31,85
16,20.8,3618,491,7.04,3.52,6.72,35,70
16,9.6,3675,477,2.88,1.44,2.72,30,66
16,35.2,3685,498,7.68,3.84,7.36,36,62
17,25.5,3835,518,4.25,2.13,4.08,36,98
17,30.6,3840,522,4.59,2.30,4.42,37,97
17,20.4,3845,515,4.08,2.04,3.91,35,96
17,27.2,3830,520,4.42,2.21,4.25,36,95
17,17.0,3860,512,3.74,1.87,3.57,35,93
17,23.8,3855,517,4.25,2.13,4.08,36,91
17,13.6,3880,510,3.40,1.70,3.23,33,85
17,22.1,3843,521,7.48,3.74,7.14,37,69
17,10.2,3900,507,3.06,1.53,2.89,32,65
17,37.4,3910,528,8.16,4.08,7.82,38,61
18,27.0,4060,548,4.50,2.25,4.32,38,98
18,32.4,4065,552,4.86,2.43,4.68,39,97
18,21.6,4070,545,4.32,2.16,4.14,37,96
18,28.8,4055,550,4.68,2.34,4.50,38,95
18,18.0,4085,542,3.96,1.98,3.78,37,93
18,25.2,4080,547,4.50,2.25,4.32,38,91
18,14.4,4105,540,3.60,1.80,3.42,35,85
18,23.4,4068,551,7.92,3.96,7.56,39,68
18,10.8,4125,537,3.24,1.62,3.06,34,64
18,39.6,4135,558,8.64,4.32,8.28,40,60
19,28.5,4285,578,4.75,2.38,4.56,40,98
19,34.2,4290,582,5.13,2.57,4.94,41,97
19,22.8,4295,575,4.56,2.28,4.37,39,96
19,30.4,4280,580,4.94,2.47,4.75,40,95
19,19.0,4310,572,4.18,2.09,3.99,39,93
19,26.6,4305,577,4.75,2.38,4.56,40,91
19,15.2,4330,570,3.80,1.90,3.61,37,85
19,24.7,4293,581,8.36,4.18,7.98,41,67
19,11.4,4350,567,3.42,1.71,3.23,36,63
19,41.8,4360,588,9.12,4.56,8.74,42,59
20,30.0,4510,608,5.00,2.50,4.80,42,98
20,36.0,4515,612,5.40,2.70,5.20,43,97
20,24.0,4520,605,4.80,2.40,4.60,41,96
20,32.0,4505,610,5.20,2.60,5.00,42,95
20,20.0,4535,602,4.40,2.20,4.20,41,93
20,28.0,4530,607,5.00,2.50,4.80,42,91
20,16.0,4555,600,4.00,2.00,3.80,39,85
20,26.0,4518,611,8.80,4.40,8.40,43,66
20,12.0,4575,597,3.60,1.80,3.40,38,62
20,44.0,4585,618,9.60,4.80,9.20,44,58
21,31.5,4735,638,5.25,2.63,5.04,44,98
21,37.8,4740,642,5.67,2.84,5.46,45,97
21,25.2,4745,635,5.04,2.52,4.83,43,96
21,33.6,4730,640,5.46,2.73,5.25,44,95
21,21.0,4760,632,4.62,2.31,4.41,43,93
21,29.4,4755,637,5.25,2.63,5.04,44,91
21,16.8,4780,630,4.20,2.10,4.00,41,85
21,27.3,4743,641,9.24,4.62,8.82,45,65
21,12.6,4800,627,3.78,1.89,3.59,40,61
21,46.2,4810,648,10.08,5.04,9.66,46,57
22,33.0,4960,668,5.50,2.75,5.28,46,98
22,39.6,4965,672,5.94,2.97,5.72,47,97
22,26.4,4970,665,5.28,2.64,5.06,45,96
22,35.2,4955,670,5.72,2.86,5.50,46,95
22,22.0,4985,662,4.84,2.42,4.62,45,93
22,30.8,4980,667,5.50,2.75,5.28,46,91
22,17.6,5005,660,4.40,2.20,4.18,43,85
22,28.6,4968,671,9.68,4.84,9.24,47,64
22,13.2,5025,657,3.96,1.98,3.76,42,60
22,48.4,5035,678,10.56,5.28,10.12,48,56
23,34.5,5185,698,5.75,2.88,5.52,48,98
23,41.4,5190,702,6.21,3.11,5.98,49,97
23,27.6,5195,695,5.52,2.76,5.29,47,96
23,36.8,5180,700,5.98,2.99,5.75,48,95
23,23.0,5210,692,5.06,2.53,4.83,47,93
23,32.2,5205,697,5.75,2.88,5.52,48,91
23,18.4,5230,690,4.60,2.30,4.37,45,85
23,29.9,5193,701,10.12,5.06,9.66,49,63
23,13.8,5250,687,4.14,2.07,3.93,44,59
23,50.6,5260,708,11.04,5.52,10.58,50,55
24,36.0,5410,728,6.00,3.00,5.76,50,98
24,43.2,5415,732,6.48,3.24,6.24,51,97
24,28.8,5420,725,5.76,2.88,5.52,49,96
24,38.4,5405,730,6.24,3.12,6.00,50,95
24,24.0,5435,722,5.28,2.64,5.04,49,93
24,33.6,5430,727,6.00,3.00,5.76,50,91
24,19.2,5455,720,4.80,2.40,4.56,47,85
24,31.2,5418,731,10.56,5.28,10.08,51,62
24,14.4,5475,717,4.32,2.16,4.08,46,58
24,52.8,5485,738,11.52,5.76,11.04,52,54
25,37.5,5635,758,6.25,3.13,6.00,52,98
25,45.0,5640,762,6.75,3.38,6.50,53,97
25,30.0,5645,755,6.00,3.00,5.75,51,96
25,40.0,5630,760,6.50,3.25,6.25,52,95
25,25.0,5660,752,5.50,2.75,5.25,51,93
25,35.0,5655,757,6.25,3.13,6.00,52,91
25,20.0,5680,750,5.00,2.50,4.75,49,85
25,32.5,5643,761,11.00,5.50,10.50,53,61
25,15.0,5700,747,4.50,2.25,4.25,48,57
25,55.0,5710,768,12.00,6.00,11.50,54,53
26,39.0,5860,788,6.50,3.25,6.24,54,98
26,46.8,5865,792,7.02,3.51,6.76,55,97
26,31.2,5870,785,6.24,3.12,5.98,53,96
26,41.6,5855,790,6.76,3.38,6.50,54,95
26,26.0,5885,782,5.72,2.86,5.46,53,93
26,36.4,5880,787,6.50,3.25,6.24,54,91
26,20.8,5905,780,5.20,2.60,4.94,51,85
26,33.8,5868,791,11.44,5.72,10.92,55,60
26,15.6,5925,777,4.68,2.34,4.42,50,56
26,57.2,5935,798,12.48,6.24,11.96,56,52
27,40.5,6085,818,6.75,3.38,6.48,56,98
27,48.6,6090,822,7.29,3.65,7.02,57,97
27,32.4,6095,815,6.48,3.24,6.21,55,96
27,43.2,6080,820,7.02,3.51,6.75,56,95
27,27.0,6110,812,5.94,2.97,5.67,55,93
27,37.8,6105,817,6.75,3.38,6.48,56,91
27,21.6,6130,810,5.40,2.70,5.13,53,85
27,35.1,6093,821,11.88,5.94,11.34,57,59
27,16.2,6150,807,4.86,2.43,4.59,52,55
27,59.4,6160,828,12.96,6.48,12.42,58,51
28,42.0,6310,848,7.00,3.50,6.72,58,98
28,50.4,6315,852,7.56,3.78,7.28,59,97
28,33.6,6320,845,6.72,3.36,6.44,57,96
28,44.8,6305,850,7.28,3.64,7.00,58,95
28,28.0,6335,842,6.16,3.08,5.88,57,93
28,39.2,6330,847,7.00,3.50,6.72,58,91
28,22.4,6355,840,5.60,2.80,5.32,55,85
28,36.4,6318,851,12.32,6.16,11.76,59,58
28,16.8,6375,837,5.04,2.52,4.76,54,54
28,61.6,6385,858,13.44,6.72,12.88,60,50
29,43.5,6535,878,7.25,3.63,6.96,60,98
29,52.2,6540,882,7.83,3.92,7.54,61,97
29,34.8,6545,875,6.96,3.48,6.67,59,96
29,46.4,6530,880,7.54,3.77,7.25,60,95
29,29.0,6560,872,6.38,3.19,6.09,59,93
29,40.6,6555,877,7.25,3.63,6.96,60,91
29,23.2,6580,870,5.80,2.90,5.51,57,85
29,37.7,6543,881,12.76,6.38,12.18,61,57
29,17.4,6600,867,5.22,2.61,4.93,56,53
29,63.8,6610,888,13.92,6.96,13.34,62,49
30,45.0,6760,908,7.50,3.75,7.20,62,98
30,54.0,6765,912,8.10,4.05,7.80,63,97
30,36.0,6770,905,7.20,3.60,6.90,61,96
30,48.0,6755,910,7.80,3.90,7.50,62,95
30,30.0,6785,902,6.60,3.30,6.30,61,93
30,42.0,6780,907,7.50,3.75,7.20,62,91
30,24.0,6805,900,6.00,3.00,5.70,59,85
30,39.0,6768,911,13.20,6.60,12.60,63,56
30,18.0,6825,897,5.40,2.70,5.10,58,52
30,66.0,6835,918,14.40,7.20,13.80,64,48
31,46.5,6985,938,7.75,3.88,7.44,64,98
31,55.8,6990,942,8.37,4.19,8.06,65,97
31,37.2,6995,935,7.44,3.72,7.13,63,96
31,49.6,6980,940,8.06,4.03,7.75,64,95
31,31.0,7010,932,6.82,3.41,6.51,63,93
31,43.4,7005,937,7.75,3.88,7.44,64,91
31,24.8,7030,930,6.20,3.10,5.89,61,85
31,40.3,6993,941,13.64,6.82,13.02,65,55
31,18.6,7050,927,5.58,2.79,5.27,60,51
31,68.2,7060,948,14.88,7.44,14.26,66,47
32,48.0,7210,968,8.00,4.00,7.68,66,98
32,57.6,7215,972,8.64,4.32,8.32,67,97
32,38.4,7220,965,7.68,3.84,7.36,65,96
32,51.2,7205,970,8.32,4.16,8.00,66,95
32,32.0,7235,962,7.04,3.52,6.72,65,93
32,44.8,7230,967,8.00,4.00,7.68,66,91
32,25.6,7255,960,6.40,3.20,6.08,63,85
32,41.6,7218,971,14.08,7.04,13.44,67,54
32,19.2,7275,957,5.76,2.88,5.44,62,50
32,70.4,7285,978,15.36,7.68,14.72,68,46
33,49.5,7435,998,8.25,4.13,7.92,68,98
33,59.4,7440,1002,8.91,4.46,8.58,69,97
33,39.6,7445,995,7.92,3.96,7.59,67,96
33,52.8,7430,1000,8.58,4.29,8.25,68,95
33,33.0,7460,992,7.26,3.63,6.93,67,93
33,46.2,7455,997,8.25,4.13,7.92,68,91
33,26.4,7480,990,6.60,3.30,6.27,65,85
33,42.9,7443,1001,14.52,7.26,13.86,69,53
33,19.8,7500,987,5.94,2.97,5.61,64,49
33,72.6,7510,1008,15.84,7.92,15.18,70,45
34,51.0,7660,1028,8.50,4.25,8.16,70,98
34,61.2,7665,1032,9.18,4.59,8.84,71,97
34,40.8,7670,1025,8.16,4.08,7.82,69,96
34,54.4,7655,1030,8.84,4.42,8.50,70,95
34,34.0,7685,1022,7.48,3.74,7.14,69,93
34,47.6,7680,1027,8.50,4.25,8.16,70,91
34,27.2,7705,1020,6.80,3.40,6.46,67,85
34,44.2,7668,1031,14.96,7.48,14.28,71,52
34,20.4,7725,1017,6.12,3.06,5.78,66,48
34,74.8,7735,1038,16.32,8.16,15.64,72,44
35,52.5,7885,1058,8.75,4.38,8.40,72,98
35,63.0,7890,1062,9.45,4.73,9.10,73,97
35,42.0,7895,1055,8.40,4.20,8.05,71,96
35,56.0,7880,1060,9.10,4.55,8.75,72,95
35,35.0,7910,1052,7.70,3.85,7.35,71,93
35,49.0,7905,1057,8.75,4.38,8.40,72,91
35,28.0,7930,1050,7.00,3.50,6.65,69,85
35,45.5,7893,1061,15.40,7.70,14.70,73,51
35,21.0,7950,1047,6.30,3.15,5.95,68,47
35,77.0,7960,1068,16.80,8.40,16.10,74,43
36,54.0,8110,1088,9.00,4.50,8.64,74,98
36,64.8,8115,1092,9.72,4.86,9.36,75,97
36,43.2,8120,1085,8.64,4.32,8.28,73,96
36,57.6,8105,1090,9.36,4.68,9.00,74,95
36,36.0,8135,1082,7.92,3.96,7.56,73,93
36,50.4,8130,1087,9.00,4.50,8.64,74,91
36,28.8,8155,1080,7.20,3.60,6.84,71,85
36,46.8,8118,1091,15.84,7.92,15.12,75,50
36,21.6,8175,1077,6.48,3.24,6.12,70,46
36,79.2,8185,1098,17.28,8.64,16.56,76,42
37,55.5,8335,1118,9.25,4.63,8.88,76,98
37,66.6,8340,1122,9.99,5.00,9.62,77,97
37,44.4,8345,1115,8.88,4.44,8.51,75,96
37,59.2,8330,1120,9.62,4.81,9.25,76,95
37,37.0,8360,1112,8.14,4.07,7.77,75,93
37,51.8,8355,1117,9.25,4.63,8.88,76,91
37,29.6,8380,1110,7.40,3.70,7.03,73,85
37,48.1,8343,1121,16.28,8.14,15.54,77,49
37,22.2,8400,1107,6.66,3.33,6.29,72,45
37,81.4,8410,1128,17.76,8.88,17.02,78,41
38,57.0,8560,1148,9.50,4.75,9.12,78,98
38,68.4,8565,1152,10.26,5.13,9.88,79,97
38,45.6,8570,1145,9.12,4.56,8.74,77,96
38,60.8,8555,1150,9.88,4.94,9.50,78,95
38,38.0,8585,1142,8.36,4.18,7.98,77,93
38,53.2,8580,1147,9.50,4.75,9.12,78,91
38,30.4,8605,1140,7.60,3.80,7.22,75,85
38,49.4,8568,1151,16.72,8.36,15.96,79,48
38,22.8,8625,1137,6.84,3.42,6.46,74,44
38,83.6,8635,1158,18.24,9.12,17.48,80,40
39,58.5,8785,1178,9.75,4.88,9.36,80,98
39,70.2,8790,1182,10.53,5.27,10.14,81,97
39,46.8,8795,1175,9.36,4.68,8.97,79,96
39,62.4,8780,1180,10.14,5.07,9.75,80,95
39,39.0,8810,1172,8.58,4.29,8.19,79,93
39,54.6,8805,1177,9.75,4.88,9.36,80,91
39,31.2,8830,1170,7.80,3.90,7.41,77,85
39,50.7,8793,1181,17.16,8.58,16.38,81,47
39,23.4,8850,1167,7.02,3.51,6.63,76,43
39,85.8,8860,1188,18.72,9.36,17.94,82,39
40,60.0,9010,1208,10.00,5.00,9.60,82,98
40,72.0,9015,1212,10.80,5.40,10.40,83,97
40,48.0,9020,1205,9.60,4.80,9.20,81,96
40,64.0,9005,1210,10.40,5.20,10.00,82,95
40,40.0,9035,1202,8.80,4.40,8.40,81,93
40,56.0,9030,1207,10.00,5.00,9.60,82,91
40,32.0,9055,1200,8.00,4.00,7.60,79,85
40,52.0,9018,1211,17.60,8.80,16.80,83,46
40,24.0,9075,1197,7.20,3.60,6.80,78,42
40,88.0,9085,1218,19.20,9.60,18.40,84,38
41,61.5,9235,1238,10.25,5.13,9.84,84,98
41,73.8,9240,1242,11.07,5.54,10.66,85,97
41,49.2,9245,1235,9.84,4.92,9.43,83,96
41,65.6,9230,1240,10.66,5.33,10.25,84,95
41,41.0,9260,1232,9.02,4.51,8.61,83,93
41,57.4,9255,1237,10.25,5.13,9.84,84,91
41,32.8,9280,1230,8.20,4.10,7.79,81,85
41,53.3,9243,1241,18.04,9.02,17.22,85,45
41,24.6,9300,1227,7.38,3.69,6.97,80,41
41,90.2,9310,1248,19.68,9.84,18.86,86,37
42,63.0,9460,1268,10.50,5.25,10.08,86,98
42,75.6,9465,1272,11.34,5.67,10.92,87,97
42,50.4,9470,1265,10.08,5.04,9.66,85,96
42,67.2,9455,1270,10.92,5.46,10.50,86,95
42,42.0,9485,1262,9.24,4.62,8.82,85,93
42,58.8,9480,1267,10.50,5.25,10.08,86,91
42,33.6,9505,1260,8.40,4.20,7.98,83,85
42,54.6,9468,1271,18.48,9.24,17.64,87,44
42,25.2,9525,1257,7.56,3.78,7.14,82,40
42,92.4,9535,1278,20.16,10.08,19.32,88,36
43,64.5,9685,1298,10.75,5.38,10.32,88,98
43,77.4,9690,1302,11.61,5.81,11.18,89,97
43,51.6,9695,1295,10.32,5.16,9.89,87,96
43,68.8,9680,1300,11.18,5.59,10.75,88,95
43,43.0,9710,1292,9.46,4.73,9.03,87,93
43,60.2,9705,1297,10.75,5.38,10.32,88,91
43,34.4,9730,1290,8.60,4.30,8.17,85,85
43,55.9,9693,1301,18.92,9.46,18.06,89,43
43,25.8,9750,1287,7.74,3.87,7.31,84,39
43,94.6,9760,1308,20.64,10.32,19.78,90,35
44,66.0,9910,1328,11.00,5.50,10.56,90,98
44,79.2,9915,1332,11.88,5.94,11.44,91,97
44,52.8,9920,1325,10.56,5.28,10.12,89,96
44,70.4,9905,1330,11.44,5.72,11.00,90,95
44,44.0,9935,1322,9.68,4.84,9.24,89,93
44,61.6,9930,1327,11.00,5.50,10.56,90,91
44,35.2,9955,1320,8.80,4.40,8.36,87,85
44,57.2,9918,1331,19.36,9.68,18.48,91,42
44,26.4,9975,1317,7.92,3.96,7.48,86,38
44,96.8,9985,1338,21.12,10.56,20.24,92,34
45,67.5,10135,1358,11.25,5.63,10.80,92,98
45,81.0,10140,1362,12.15,6.08,11.70,93,97
45,54.0,10145,1355,10.80,5.40,10.35,91,96
45,72.0,10130,1360,11.70,5.85,11.25,92,95
45,45.0,10160,1352,9.90,4.95,9.45,91,93
45,63.0,10155,1357,11.25,5.63,10.80,92,91
45,36.0,10180,1350,9.00,4.50,8.55,89,85
45,58.5,10143,1361,19.80,9.90,18.90,93,41
45,27.0,10200,1347,8.10,4.05,7.65,88,37
45,99.0,10210,1368,21.60,10.80,20.70,94,33
46,69.0,10360,1388,11.50,5.75,11.04,94,98
46,82.8,10365,1392,12.42,6.21,11.96,95,97
46,55.2,10370,1385,11.04,5.52,10.58,93,96
46,73.6,10355,1390,11.96,5.98,11.50,94,95
46,46.0,10385,1382,10.12,5.06,9.66,93,93
46,64.4,10380,1387,11.50,5.75,11.04,94,91
46,36.8,10405,1380,9.20,4.60,8.74,91,85
46,59.8,10368,1391,20.24,10.12,19.32,95,40
46,27.6,10425,1377,8.28,4.14,7.82,90,36
46,101.2,10435,1398,22.08,11.04,21.16,96,32
47,70.5,10585,1418,11.75,5.88,11.28,96,98
47,84.6,10590,1422,12.69,6.35,12.22,97,97
47,56.4,10595,1415,11.28,5.64,10.81,95,96
47,75.2,10580,1420,12.22,6.11,11.75,96,95
47,47.0,10610,1412,10.34,5.17,9.87,95,93
47,65.8,10605,1417,11.75,5.88,11.28,96,91
47,37.6,10630,1410,9.40,4.70,8.93,93,85
47,61.1,10593,1421,20.68,10.34,19.74,97,39
47,28.2,10650,1407,8.46,4.23,7.99,92,35
47,103.4,10660,1428,22.56,11.28,21.62,98,31
48,72.0,10810,1448,12.00,6.00,11.52,98,98
48,86.4,10815,1452,12.96,6.48,12.48,99,97
48,57.6,10820,1445,11.52,5.76,11.04,97,96
48,76.8,10805,1450,12.48,6.24,12.00,98,95
48,48.0,10835,1442,10.56,5.28,10.08,97,93
48,67.2,10830,1447,12.00,6.00,11.52,98,91
48,38.4,10855,1440,9.60,4.80,9.12,95,85
48,62.4,10818,1451,21.12,10.56,20.16,99,38
48,28.8,10875,1437,8.64,4.32,8.16,94,34
48,105.6,10885,1458,23.04,11.52,22.08,100,30
49,73.5,11035,1478,12.25,6.13,11.76,100,98
49,88.2,11040,1482,13.23,6.62,12.74,101,97
49,58.8,11045,1475,11.76,5.88,11.27,99,96
49,78.4,11030,1480,12.74,6.37,12.25,100,95
49,49.0,11060,1472,10.78,5.39,10.29,99,93
49,68.6,11055,1477,12.25,6.13,11.76,100,91
49,39.2,11080,1470,9.80,4.90,9.31,97,85
49,63.7,11043,1481,21.56,10.78,20.58,101,37
49,29.4,11100,1467,8.82,4.41,8.33,96,33
49,107.8,11110,1488,23.52,11.76,22.54,102,29
50,75.0,11260,1508,12.50,6.25,12.00,102,98
50,90.0,11265,1512,13.50,6.75,13.00,103,97
50,60.0,11270,1505,12.00,6.00,11.50,101,96
50,80.0,11255,1510,13.00,6.50,12.50,102,95
50,50.0,11285,1502,11.00,5.50,10.50,101,93
50,70.0,11280,1507,12.50,6.25,12.00,102,91
50,40.0,11305,1500,10.00,5.00,9.50,99,85
50,65.0,11268,1511,22.00,11.00,21.00,103,36
50,30.0,11325,1497,9.00,4.50,8.50,98,32
50,110.0,11335,1518,24.00,12.00,23.00,104,28
55,82.5,12386,1658,13.75,6.88,13.20,111,98
55,99.0,12391,1662,14.85,7.43,14.30,112,97
55,66.0,12396,1655,13.20,6.60,12.65,110,96
55,88.0,12381,1660,14.30,7.15,13.75,111,95
55,55.0,12411,1652,12.10,6.05,11.55,110,93
55,77.0,12406,1657,13.75,6.88,13.20,111,91
55,44.0,12431,1650,11.00,5.50,10.45,108,85
